道路名称,日期,时,分,路况整体评价,路况整体描述,拥堵路段,路段拥堵评价,较十分钟前拥堵趋势,拥堵距离,平均通行速度
青兰高速,2019/5/1,13,7,1,双向畅通,"北向南,从柳沟河桥到高端铝合金",4,缓解,5090,15.08
青兰高速,2019/5/1,13,17,1,双向畅通,"西向东,从柳忠高速到连霍高速",3,缓解,1660,24.16
青兰高速,2019/5/1,13,27,1,自东向西畅通；自西向东轻微拥堵,"西向东,从柳忠高速到连霍高速",4,加重,4770,10.58
青兰高速,2019/5/1,13,37,1,自东向西畅通；自西向东轻微拥堵,"西向东,从柳忠高速到连霍高速",4,加重,5800,7.93
青兰高速,2019/5/1,13,47,2,自东向西畅通；自西向东拥堵,"东向西,从柳忠高速到巉柳高速",2,加重,340,58.6
青兰高速,2019/5/1,13,57,1,自东向西畅通；自西向东缓行,"西向东,从柳忠高速到连霍高速",4,加重,6820,10.25
青兰高速,2019/5/1,14,7,1,自东向西畅通；自西向东缓行,"北向东,青兰高速附近",4,加重,4630,7.7
青兰高速,2019/5/1,14,17,1,自东向西畅通；自西向东缓行,"西向东,从巉柳高速到柳忠高速",4,持平,4100,10.06
青兰高速,2019/5/1,14,27,1,自东向西畅通；自西向东缓行,"西向南,从巉柳高速到柳忠高速",4,加重,1710,4.08
青兰高速,2019/5/1,14,37,1,双向畅通,"西向东,柳忠高速附近",3,缓解,360,28.63
青兰高速,2019/5/1,14,47,1,双向畅通,"西向东,连霍高速附近",3,缓解,2150,26.07
青兰高速,2019/5/1,14,58,1,双向畅通,"西向东,从巉柳高速到连霍高速",3,加重,3650,17.77
青兰高速,2019/5/1,15,8,2,自东向西畅通；自西向东拥堵,"西向东,从柳忠高速到连霍高速",4,加重,3740,5.1
青兰高速,2019/5/1,15,18,2,自东向西畅通；自西向东拥堵,"西向东,柳忠高速附近",4,加重,2720,2.43
青兰高速,2019/5/1,15,28,3,自东向西畅通；自西向东拥堵,"西向东,从柳忠高速到巉柳高速",4,持平,3790,2.36
青兰高速,2019/5/1,15,38,2,自东向西畅通；自西向东拥堵,"北向东,青兰高速附近",4,缓解,3600,3.25
青兰高速,2019/5/1,15,48,2,自东向西畅通；自西向东拥堵,"西向东,柳忠高速附近",4,持平,3170,3.23
青兰高速,2019/5/1,15,58,2,自东向西畅通；自西向东拥堵,"西向南,巉柳高速附近",4,持平,2960,3.29
青兰高速,2019/5/1,16,8,1,自东向西畅通；自西向东缓行,"西向东,青兰高速附近",4,持平,1520,3.19
青兰高速,2019/5/1,16,18,1,双向畅通,"西向东,从巉柳高速到连霍高速",4,缓解,720,21.04
青兰高速,2019/5/1,16,28,1,双向畅通,,,,,
青兰高速,2019/5/1,16,38,1,双向畅通,,,,,
青兰高速,2019/5/1,16,48,1,双向畅通,,,,,
青兰高速,2019/5/1,16,58,1,双向畅通,,,,,
青兰高速,2019/5/1,17,8,1,双向畅通,,,,,
青兰高速,2019/5/1,17,18,1,双向畅通,,,,,
青兰高速,2019/5/1,17,28,1,双向畅通,,,,,
青兰高速,2019/5/1,17,38,1,双向畅通,,,,,
青兰高速,2019/5/1,17,48,1,双向畅通,,,,,
青兰高速,2019/5/1,17,58,1,双向畅通,,,,,
青兰高速,2019/5/1,18,8,1,双向畅通,,,,,
青兰高速,2019/5/1,18,18,1,双向畅通,,,,,
青兰高速,2019/5/1,18,28,1,双向畅通,,,,,
青兰高速,2019/5/1,18,38,1,双向畅通,,,,,
青兰高速,2019/5/1,18,48,1,双向畅通,,,,,
青兰高速,2019/5/1,18,58,1,双向畅通,"南向北,青兰高速附近",2,加重,280,50
青兰高速,2019/5/1,19,8,1,双向畅通,"东向北,柳忠高速附近",2,加重,2550,45.39
青兰高速,2019/5/1,19,18,1,双向畅通,"东向西,青兰高速附近",2,持平,370,48.11
青兰高速,2019/5/1,19,28,1,双向畅通,,,,,
青兰高速,2019/5/1,19,38,1,双向畅通,,,,,
青兰高速,2019/5/1,19,48,1,双向畅通,,,,,
青兰高速,2019/5/1,19,58,1,双向畅通,,,,,
青兰高速,2019/5/1,20,8,1,双向畅通,,,,,
青兰高速,2019/5/1,20,18,1,双向畅通,,,,,
青兰高速,2019/5/1,20,28,1,双向畅通,"东向西,从柳忠高速到巉柳高速",2,加重,340,59.26
青兰高速,2019/5/1,20,38,1,双向畅通,,,,,
青兰高速,2019/5/1,20,49,1,双向畅通,,,,,
青兰高速,2019/5/1,20,59,1,双向畅通,,,,,
青兰高速,2019/5/1,21,9,1,双向畅通,,,,,
青兰高速,2019/5/1,21,19,1,双向畅通,,,,,
青兰高速,2019/5/1,21,29,1,双向畅通,,,,,
青兰高速,2019/5/1,21,39,1,双向畅通,,,,,
青兰高速,2019/5/1,21,49,1,双向畅通,,,,,
青兰高速,2019/5/1,21,59,1,双向畅通,,,,,
青兰高速,2019/5/1,22,9,1,双向畅通,,,,,
青兰高速,2019/5/1,22,19,1,双向畅通,,,,,
青兰高速,2019/5/1,22,29,1,双向畅通,,,,,
青兰高速,2019/5/1,22,39,1,双向畅通,,,,,
青兰高速,2019/5/1,22,49,1,双向畅通,,,,,
青兰高速,2019/5/1,22,59,1,双向畅通,,,,,
青兰高速,2019/5/1,23,9,1,双向畅通,,,,,
青兰高速,2019/5/1,23,19,1,双向畅通,,,,,
青兰高速,2019/5/1,23,29,1,双向畅通,,,,,
青兰高速,2019/5/1,23,39,1,双向畅通,"西向东,从兴隆隧道到连霍高速",2,加重,540,55.42
青兰高速,2019/5/1,23,49,1,双向畅通,,,,,
青兰高速,2019/5/1,23,59,1,双向畅通,,,,,
青兰高速,2019/5/2,0,9,1,双向畅通,,,,,
青兰高速,2019/5/2,0,19,1,双向畅通,,,,,
青兰高速,2019/5/2,0,29,1,双向畅通,,,,,
青兰高速,2019/5/2,0,39,1,双向畅通,,,,,
青兰高速,2019/5/2,0,49,1,双向畅通,,,,,
青兰高速,2019/5/2,0,59,1,双向畅通,,,,,
青兰高速,2019/5/2,1,9,1,双向畅通,,,,,
青兰高速,2019/5/2,1,19,1,双向畅通,,,,,
青兰高速,2019/5/2,1,29,1,双向畅通,"西向东,从柳忠高速到连霍高速",2,加重,370,36.7
青兰高速,2019/5/2,1,39,1,双向畅通,,,,,
青兰高速,2019/5/2,1,49,1,双向畅通,"南向北,连霍高速附近",2,加重,770,46.41
青兰高速,2019/5/2,1,59,1,双向畅通,,,,,
青兰高速,2019/5/2,2,9,1,双向畅通,,,,,
青兰高速,2019/5/2,2,19,1,双向畅通,"东向西,连霍高速附近",2,加重,550,45.33
青兰高速,2019/5/2,2,29,1,双向畅通,"北向南,从巉柳高速到柳忠高速",2,加重,2290,56.92
青兰高速,2019/5/2,2,39,1,双向畅通,,,,,
青兰高速,2019/5/2,2,49,1,双向畅通,,,,,
青兰高速,2019/5/2,2,59,1,双向畅通,,,,,
青兰高速,2019/5/2,3,9,1,双向畅通,,,,,
青兰高速,2019/5/2,3,19,1,双向畅通,,,,,
青兰高速,2019/5/2,3,29,1,双向畅通,"东向西,青兰高速附近",2,加重,390,49.91
青兰高速,2019/5/2,3,39,1,双向畅通,"西向东,连霍高速附近",3,加重,290,29.32
青兰高速,2019/5/2,3,49,1,双向畅通,,,,,
青兰高速,2019/5/2,4,0,1,双向畅通,"东向西,柳忠高速附近",2,加重,340,47.08
青兰高速,2019/5/2,4,10,1,双向畅通,,,,,
青兰高速,2019/5/2,4,20,1,双向畅通,,,,,
青兰高速,2019/5/2,4,30,1,双向畅通,"西向东,从柳忠高速到连霍高速",3,加重,370,28.6
青兰高速,2019/5/2,4,40,1,双向畅通,,,,,
青兰高速,2019/5/2,4,50,1,双向畅通,,,,,
青兰高速,2019/5/2,5,0,1,双向畅通,,,,,
青兰高速,2019/5/2,5,10,1,双向畅通,,,,,
青兰高速,2019/5/2,5,20,1,双向畅通,,,,,
青兰高速,2019/5/2,5,30,1,双向畅通,,,,,
青兰高速,2019/5/2,5,40,1,双向畅通,,,,,
青兰高速,2019/5/2,5,50,1,双向畅通,,,,,
青兰高速,2019/5/2,6,0,1,双向畅通,,,,,
青兰高速,2019/5/2,6,10,1,双向畅通,,,,,
青兰高速,2019/5/2,6,20,1,双向畅通,,,,,
青兰高速,2019/5/2,6,30,1,双向畅通,,,,,
青兰高速,2019/5/2,6,40,1,双向畅通,,,,,
青兰高速,2019/5/2,6,50,1,双向畅通,,,,,
青兰高速,2019/5/2,7,0,1,双向畅通,,,,,
青兰高速,2019/5/2,7,10,1,双向畅通,,,,,
青兰高速,2019/5/2,7,20,1,双向畅通,,,,,
青兰高速,2019/5/2,7,30,1,双向畅通,,,,,
青兰高速,2019/5/2,7,40,1,双向畅通,,,,,
青兰高速,2019/5/2,7,50,1,双向畅通,,,,,
青兰高速,2019/5/2,8,0,1,双向畅通,,,,,
青兰高速,2019/5/2,8,10,1,双向畅通,,,,,
青兰高速,2019/5/2,8,20,1,双向畅通,,,,,
青兰高速,2019/5/2,8,30,1,双向畅通,,,,,
青兰高速,2019/5/2,8,40,1,双向畅通,,,,,
青兰高速,2019/5/2,8,50,1,双向畅通,,,,,
青兰高速,2019/5/2,9,0,1,双向畅通,,,,,
青兰高速,2019/5/2,9,10,1,双向畅通,"北向南,和平清真寺附近",3,加重,930,37.45
青兰高速,2019/5/2,9,20,1,双向畅通,,,,,
青兰高速,2019/5/2,9,30,1,双向畅通,"西向东,柳忠高速附近",3,加重,290,26.69
青兰高速,2019/5/2,9,40,1,双向畅通,"西向东,从连霍高速到柳忠高速",4,加重,1530,9.8
青兰高速,2019/5/2,9,50,1,双向畅通,"西向东,青兰高速附近",3,缓解,2750,26.38
青兰高速,2019/5/2,10,0,1,双向畅通,"西向南,从柳忠高速到柳沟河桥",2,缓解,3070,41.81
青兰高速,2019/5/2,10,11,1,双向畅通,"北向南,从柳沟河大桥到柳沟河桥",3,持平,2570,35.84
青兰高速,2019/5/2,10,21,1,双向畅通,"北向东,柳沟河桥附近",2,持平,2890,46.05
青兰高速,2019/5/2,10,31,1,双向畅通,,,,,
青兰高速,2019/5/2,10,41,1,双向畅通,,,,,
青兰高速,2019/5/2,10,51,1,双向畅通,"北向南,青兰高速附近",3,加重,300,38.28
青兰高速,2019/5/2,11,1,1,双向畅通,,,,,
青兰高速,2019/5/2,11,11,1,双向畅通,"西向东,连霍高速附近",3,加重,290,25.08
青兰高速,2019/5/2,11,21,1,双向畅通,"西向东,从柳忠高速到连霍高速",3,持平,3080,25.48
青兰高速,2019/5/2,11,31,1,双向畅通,"西向东,从巉柳高速到连霍高速",3,加重,3650,16.09
青兰高速,2019/5/2,11,41,2,自东向西畅通；自西向东拥堵,"西向东,柳忠高速附近",4,加重,2460,4.73
青兰高速,2019/5/2,11,51,2,自东向西畅通；自西向东拥堵,"西向东,从柳忠高速到连霍高速",4,加重,5280,6.46
青兰高速,2019/5/2,12,1,2,自东向西畅通；自西向东拥堵,"北向东,从柳忠高速到连霍高速",4,缓解,7590,8.52
青兰高速,2019/5/2,12,11,1,自东向西畅通；自西向东轻微拥堵,"北向东,从高端铝合金到连霍高速",4,持平,7340,8.9
青兰高速,2019/5/2,12,21,2,自东向西畅通；自西向东拥堵,"北向东,柳忠高速附近",4,加重,4770,3.86
青兰高速,2019/5/2,12,31,1,自东向西畅通；自西向东轻微拥堵,"北向东,柳忠高速附近",4,加重,3590,6.17
青兰高速,2019/5/2,12,41,2,自东向西畅通；自西向东拥堵,"北向东,青兰高速附近",4,加重,2060,2.59
青兰高速,2019/5/2,12,51,1,自东向西畅通；自西向东缓行,"西向南,巉柳高速附近",4,缓解,1350,4.71
青兰高速,2019/5/2,13,1,1,双向畅通,"西向东,连霍高速附近",4,缓解,290,15.44
青兰高速,2019/5/2,13,11,1,双向畅通,"西向东,从柳忠高速到连霍高速",3,缓解,370,30.04
青兰高速,2019/5/2,13,21,1,双向畅通,"西向东,从柳忠高速到连霍高速",3,加重,3080,18.46
青兰高速,2019/5/2,13,31,1,双向畅通,"西向东,连霍高速附近",2,缓解,2150,36.38
青兰高速,2019/5/2,13,41,1,双向畅通,,,,,
青兰高速,2019/5/2,13,51,1,双向畅通,,,,,
青兰高速,2019/5/2,14,1,1,双向畅通,,,,,
青兰高速,2019/5/2,14,11,1,双向畅通,,,,,
青兰高速,2019/5/2,14,21,1,双向畅通,,,,,
青兰高速,2019/5/2,14,31,1,双向畅通,,,,,
青兰高速,2019/5/2,14,41,1,双向畅通,,,,,
青兰高速,2019/5/2,14,51,1,双向畅通,,,,,
青兰高速,2019/5/2,15,1,1,双向畅通,,,,,
青兰高速,2019/5/2,15,11,1,双向畅通,,,,,
青兰高速,2019/5/2,15,21,1,双向畅通,"东向西,连霍高速附近",2,加重,550,46.19
青兰高速,2019/5/2,15,31,1,双向畅通,,,,,
青兰高速,2019/5/2,15,41,1,双向畅通,,,,,
青兰高速,2019/5/2,15,51,1,双向畅通,,,,,
青兰高速,2019/5/2,16,1,1,双向畅通,,,,,
青兰高速,2019/5/2,16,11,1,双向畅通,,,,,
青兰高速,2019/5/2,16,21,1,双向畅通,,,,,
青兰高速,2019/5/2,16,31,1,双向畅通,,,,,
青兰高速,2019/5/2,16,41,1,双向畅通,,,,,
青兰高速,2019/5/2,16,51,1,双向畅通,,,,,
青兰高速,2019/5/2,17,1,1,双向畅通,,,,,
青兰高速,2019/5/2,17,12,1,双向畅通,,,,,
青兰高速,2019/5/2,17,22,1,双向畅通,,,,,
青兰高速,2019/5/2,17,32,1,双向畅通,"东向西,从柳忠高速到巉柳高速",2,加重,340,56.91
